Listing ID,Address,Bedrooms,Bathrooms,Living Area (sqft),Latitude,Longitude,Neighbourhood,Neighbourhood Rank,Rent Price (CAD)
W10404583,103 The Queensway 1211 Toronto,1+0,1.0,249.5,43.6362926,-79.47046279999999,High Park-Swansea,37.0,2000.0
C10422614,127 Broadway Ave 616S Toronto,1+0,1.0,549.5,43.7103794,-79.3921761,North Toronto,55.0,2000.0
W10431061,11 Wincott Dr 602 Toronto,1+0,1.0,949.5,43.6953232,-79.550889,Kingsview Village-The Westway,137.0,2000.0
C10421917,500 Wilson Ave 627 Toronto,1+1,1.0,249.5,43.7353752,-79.4454727,Clanton Park,76.0,2000.0
C9391768,195 McCaul St 603 Toronto,1+0,1.0,549.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,2000.0
C9418078,130 River St 3006 Toronto,1+0,1.0,249.5,43.6615739,-79.3586529,Regent Park,32.0,2000.0
C10429677,117 Broadway Ave 406 Toronto,1+0,1.0,549.5,43.71035699999999,-79.3925946,North Toronto,55.0,2000.0
C10402964,126 Dundas St E 202 Toronto,1+0,1.0,549.5,43.656325,-79.380903,Downtown Yonge East,34.0,2000.0
C9418401,425 front St E 704 Toronto,1+0,1.0,249.5,43.6526799,-79.35710999999999,St Lawrence-East Bayfront-The Islands,35.0,2000.0
C10429351,230 Simcoe St 2121 Toronto,1+0,1.0,249.5,43.65328239999999,-79.3889093,Kensington-Chinatown,48.0,2000.0
C10424393,30 Gloucester St 1903 Toronto,1+0,1.0,649.5,43.6673514,-79.3837922,Church-Wellesley,28.0,2000.0
E10423301,90 Glen Everest Rd 704 Toronto,1+0,1.0,249.5,43.7031342,-79.25277299999999,Birchcliffe-Cliffside,95.0,2000.0
W9800625,1401 Dupont St 206 Toronto,1+1,1.0,649.5,43.666383,-79.44674289999999,Junction-Wallace Emerson,50.0,2000.0
C10430936,127 Broadway Ave 614S Toronto,1+0,1.0,549.5,43.7103794,-79.3921761,North Toronto,55.0,2000.0
C10415747,629 King St W 710 Toronto,1+0,1.0,549.5,43.644001,-79.4015398,Wellington Place,5.0,2000.0
E10429428,68 Corporate Dr 1523 Toronto,1+0,1.0,649.5,43.780487,-79.250693,Woburn North,104.0,2000.0
C10429881,230 Simcoe St 2211 Toronto,1+0,1.0,249.5,43.65328239999999,-79.3889093,Kensington-Chinatown,48.0,2000.0
C10416884,195 McCaul St 1214 Toronto,1+0,1.0,249.5,43.6567194,-79.39214460000001,Kensington-Chinatown,48.0,2000.0
W10874727,2470 Eglinton Ave W 106 Toronto,1+0,1.0,749.5,43.6924995,-79.4683404,Beechborough-Greenbrook,153.0,2000.0
